    455 	
      8 car	il
      8 bien	que
      8 au	lieu
      8 après	avoir
      8 	À
      8 	tout
      8 	enfin
      8 	de
      7 —	cela
      7 à	souper
      7 à	ses
      7 à	sa
      7 à	cacambo
      7 »	il
      7 «	nous
      7 «	mon
      7 y	en
      7 vous	voyez
      7 vous	me
      7 votre	majesté
      7 un	jour
      7 tous	deux
      7 terre	et
      7 terre	
      7 sont	des
      7 si	nous
      7 sa	femme
      7 roi	des
      7 que	jamais
      7 que	cette
      7 que	ces
      7 quand	je
      7 père	et
      7 pour	un
      7 plus	beau
      7 pas	une
      7 pas	le
      7 parole	et
      7 par	un
      7 par	des
      7 pangloss	et
      7 on	les
      7 n’y	avait
      7 nous	ne
      7 ne	sont
      7 ne	nous
      7 mort	en
      7 mon	ami
      7 mit	à
      7 l’abbé	périgourdin
      7 les	mœurs
      7 les	mélanges
      7 les	jours
      7 le	révérend
      7 le	reste
      7 le	plaisir
      7 le	jour
      7 le	commandant
      7 le	carnaval
      7 le	capitaine
      7 la	parole
      7 j’ai	vu
      7 il	nous
      7 il	les
      7 fit	un
      7 faut	que
      7 et	tous
      7 et	qu’on
      7 et	où
      7 et	l’autre
      7 et	ils
      7 et	dit
      7 et	au
      7 est	vrai
      7 du	tout
      7 dont	on
      7 dont	il
      7 don	issachar
      7 dit	qu’il
      7 dit	que
      7 dit	l’abbé
      7 deux	moutons
      7 des	larmes
      7 de	si
      7 de	ne
      7 de	moi
      7 de	mlle
      7 de	ma
      7 dans	toute
      7 dans	sa
      7 comme	on
      7 cet	homme
      7 cent	fois
      7 ce	n’est
      7 ce	monde
      7 ce	discours
      7 candide	à
      7 candide	que
      7 candide	lui
      7 candide	fut
      7 beaucoup	de
      7 aux	galères
      7 après	quoi
      7 après	le
      7 a	été
      7 	quand
      7 	pangloss
      7 	ne
      7 	comme
      7 	cependant
      7 	cacambo
      6 ↑	les
      6 —	oh
      6 —	et
      6 était	un
      6 à	votre
      6 à	paris
      6 à	deux
      6 à	cette
      6 »	cacambo
      6 «	ce
      6 vu	de
      6 vous	n’aviez
      6 vous	n’avez
